CategoryName,SubCategoryName,ActivityName,TaskName,ParentTaskName,TaskDescription,DepartmentName,UserName,AssignedDate,CloseDate,BookedDate,Hours
Initiation and Planning,Project Charter,Project Charter,Draft preparation,,Prepare initial project charter draft,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-06,8
Initiation and Planning,Project Charter,Project Charter,Draft preparation,,Prepare initial project charter draft,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-07,8
Initiation and Planning,Project Charter,Project Charter,Draft preparation,,Prepare initial project charter draft,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-08,8
Initiation and Planning,Project Charter,Project Charter,Draft preparation,,Prepare initial project charter draft,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-09,8
Initiation and Planning,Project Charter,Project Charter,Prepare write-up,Draft preparation,Prepare formal write-up from the draft,Project Management,John Davis,2026-01-12,2026-01-16,2026-01-12,8
Initiation and Planning,Project Charter,Project Charter,Prepare write-up,Draft preparation,Prepare formal write-up from the draft,Project Management,John Davis,2026-01-12,2026-01-16,2026-01-13,8
Initiation and Planning,Project Charter,Project Charter,Prepare write-up,Draft preparation,Prepare formal write-up from the draft,Project Management,John Davis,2026-01-12,2026-01-16,2026-01-14,8
Initiation and Planning,Project Charter,Project Charter,Prepare write-up,Draft preparation,Prepare formal write-up from the draft,Project Management,John Davis,2026-01-12,2026-01-16,2026-01-15,8
Initiation and Planning,Project Charter,Project Charter,Prepare write-up,Draft preparation,Prepare formal write-up from the draft,Project Management,John Davis,2026-01-12,2026-01-16,2026-01-16,4
Initiation and Planning,Project Charter,Project Charter,Review write-up,Draft preparation,Review the charter write-up with stakeholders,Project Management,John Davis,2026-01-19,2026-01-21,2026-01-19,8
Initiation and Planning,Project Charter,Project Charter,Review write-up,Draft preparation,Review the charter write-up with stakeholders,Project Management,John Davis,2026-01-19,2026-01-21,2026-01-20,8
Initiation and Planning,Project Charter,Project Charter,Review write-up,Draft preparation,Review the charter write-up with stakeholders,Project Management,John Davis,2026-01-19,2026-01-21,2026-01-21,4
Initiation and Planning,Project Charter,Project Charter,Charter sign-off,,Obtain formal sign-off from project sponsor,Project Management,John Davis,2026-01-22,2026-01-30,2026-01-22,8
Initiation and Planning,Project Charter,Project Charter,Charter sign-off,,Obtain formal sign-off from project sponsor,Project Management,John Davis,2026-01-22,2026-01-30,2026-01-23,8
Initiation and Planning,Project Charter,Project Charter,Charter sign-off,,Obtain formal sign-off from project sponsor,Project Management,John Davis,2026-01-22,2026-01-30,2026-01-26,8
Initiation and Planning,Project Charter,Project Charter,Charter sign-off,,Obtain formal sign-off from project sponsor,Project Management,John Davis,2026-01-22,2026-01-30,2026-01-27,8
Initiation and Planning,Project Charter,Project Charter,Charter sign-off,,Obtain formal sign-off from project sponsor,Project Management,John Davis,2026-01-22,2026-01-30,2026-01-28,4
Initiation and Planning,Feasibility Study,Feasibility Study,Site assessment,,Assess site suitability for data center construction,Project Management,John Davis,2026-01-13,2026-01-23,2026-01-13,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site assessment,,Assess site suitability for data center construction,Project Management,John Davis,2026-01-13,2026-01-23,2026-01-14,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site assessment,,Assess site suitability for data center construction,Project Management,John Davis,2026-01-13,2026-01-23,2026-01-15,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site visit,Site assessment,Conduct physical site visit and survey,Project Management,John Davis,2026-01-13,2026-01-14,2026-01-13,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site report,Site assessment,Write site assessment report,Project Management,John Davis,2026-01-15,2026-01-23,2026-01-15,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site report,Site assessment,Write site assessment report,Project Management,John Davis,2026-01-15,2026-01-23,2026-01-16,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site report,Site assessment,Write site assessment report,Project Management,John Davis,2026-01-15,2026-01-23,2026-01-19,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site report,Site assessment,Write site assessment report,Project Management,John Davis,2026-01-15,2026-01-23,2026-01-20,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-01-26,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-01-27,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-01-28,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-01-29,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-01-30,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-02-02,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technical feasibility,,Assess technical feasibility of the proposed design,Project Management,John Davis,2026-01-26,2026-02-06,2026-02-03,8
Initiation and Planning,Feasibility Study,Feasibility Study,Financial analysis,,Analyse project financial viability and cost estimates,Project Management,John Davis,2026-02-09,2026-02-20,2026-02-09,8
Initiation and Planning,Feasibility Study,Feasibility Study,Financial analysis,,Analyse project financial viability and cost estimates,Project Management,John Davis,2026-02-09,2026-02-20,2026-02-10,8
Initiation and Planning,Feasibility Study,Feasibility Study,Financial analysis,,Analyse project financial viability and cost estimates,Project Management,John Davis,2026-02-09,2026-02-20,2026-02-11,8
Initiation and Planning,Feasibility Study,Feasibility Study,Financial analysis,,Analyse project financial viability and cost estimates,Project Management,John Davis,2026-02-09,2026-02-20,2026-02-12,8
Initiation and Planning,Feasibility Study,Feasibility Study,Financial analysis,,Analyse project financial viability and cost estimates,Project Management,John Davis,2026-02-09,2026-02-20,2026-02-13,8
Initiation and Planning,Feasibility Study,Feasibility Study,Feasibility report,,Compile and issue the feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-23,8
Initiation and Planning,Feasibility Study,Feasibility Study,Feasibility report,,Compile and issue the feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-24,8
Initiation and Planning,Feasibility Study,Feasibility Study,Feasibility report,,Compile and issue the feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-25,8
Initiation and Planning,Feasibility Study,Feasibility Study,Feasibility report,,Compile and issue the feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-26,8
Initiation and Planning,Feasibility Study,Feasibility Study,Feasibility report,,Compile and issue the feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-27,4
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-01-27,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-01-28,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-01-29,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-01-30,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-02-02,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-02-03,8
Initiation and Planning,Project Planning,Project Planning,Work breakdown structure,,Develop the project work breakdown structure,Project Management,John Davis,2026-01-27,2026-02-13,2026-02-04,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-09,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-10,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-11,8
Initiation and Planning,Project Planning,Project Planning,Schedule development,,Develop the project schedule and milestones,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-12,8
