CategoryName,SubCategoryName,ActivityName,TaskName,ParentTaskName,TaskDescription,DepartmentName,UserName,AssignedDate,CloseDate,BookedDate,Hours
Initiation and Planning,Project Charter,Project Charter,Requirements gathering,,Gather project requirements from key stakeholders,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-06,8
Initiation and Planning,Project Charter,Project Charter,Requirements gathering,,Gather project requirements from key stakeholders,Project Management,John Davis,2026-01-06,2026-01-09,2026-01-07,4
Initiation and Planning,Project Charter,Project Charter,Stakeholder interviews,Requirements gathering,Conduct one-on-one interviews with project stakeholders,Project Management,John Davis,2026-01-06,2026-01-07,2026-01-06,8
Initiation and Planning,Project Charter,Project Charter,Initial draft,,Prepare the first draft of the project charter document,Project Management,John Davis,2026-01-08,2026-01-15,2026-01-08,8
Initiation and Planning,Project Charter,Project Charter,Initial draft,,Prepare the first draft of the project charter document,Project Management,John Davis,2026-01-08,2026-01-15,2026-01-09,8
Initiation and Planning,Project Charter,Project Charter,Initial draft,,Prepare the first draft of the project charter document,Project Management,John Davis,2026-01-08,2026-01-15,2026-01-12,8
Initiation and Planning,Project Charter,Project Charter,Initial draft,,Prepare the first draft of the project charter document,Project Management,John Davis,2026-01-08,2026-01-15,2026-01-13,8
Initiation and Planning,Project Charter,Project Charter,Internal review,,Conduct internal review of the draft charter,Project Management,John Davis,2026-01-14,2026-01-19,2026-01-14,8
Initiation and Planning,Project Charter,Project Charter,Internal review,,Conduct internal review of the draft charter,Project Management,John Davis,2026-01-14,2026-01-19,2026-01-15,8
Initiation and Planning,Project Charter,Project Charter,Internal review,,Conduct internal review of the draft charter,Project Management,John Davis,2026-01-14,2026-01-19,2026-01-16,4
Initiation and Planning,Project Charter,Project Charter,Revision and finalization,,Revise and finalize the charter based on review feedback,Project Management,John Davis,2026-01-19,2026-01-26,2026-01-19,8
Initiation and Planning,Project Charter,Project Charter,Revision and finalization,,Revise and finalize the charter based on review feedback,Project Management,John Davis,2026-01-19,2026-01-26,2026-01-20,8
Initiation and Planning,Project Charter,Project Charter,Revision and finalization,,Revise and finalize the charter based on review feedback,Project Management,John Davis,2026-01-19,2026-01-26,2026-01-21,4
Initiation and Planning,Project Charter,Project Charter,Formal sign-off,,Obtain formal sign-off on the approved project charter,Project Management,John Davis,2026-01-27,2026-01-30,2026-01-27,8
Initiation and Planning,Project Charter,Project Charter,Formal sign-off,,Obtain formal sign-off on the approved project charter,Project Management,John Davis,2026-01-27,2026-01-30,2026-01-28,4
Initiation and Planning,Feasibility Study,Feasibility Study,Scope definition,,Define the scope and objectives of the feasibility study,Project Management,John Davis,2026-01-13,2026-01-16,2026-01-13,8
Initiation and Planning,Feasibility Study,Feasibility Study,Scope definition,,Define the scope and objectives of the feasibility study,Project Management,John Davis,2026-01-13,2026-01-16,2026-01-14,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site survey,,Conduct physical and environmental site survey,Project Management,John Davis,2026-01-19,2026-01-30,2026-01-19,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site survey,,Conduct physical and environmental site survey,Project Management,John Davis,2026-01-19,2026-01-30,2026-01-20,8
Initiation and Planning,Feasibility Study,Feasibility Study,Site survey,,Conduct physical and environmental site survey,Project Management,John Davis,2026-01-19,2026-01-30,2026-01-21,8
Initiation and Planning,Feasibility Study,Feasibility Study,Environmental assessment,Site survey,Assess environmental constraints and regulatory requirements,Project Management,John Davis,2026-01-19,2026-01-23,2026-01-19,4
Initiation and Planning,Feasibility Study,Feasibility Study,Infrastructure review,Site survey,Review existing infrastructure capacity and constraints,Project Management,John Davis,2026-01-26,2026-01-30,2026-01-26,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technology assessment,,Assess applicable technologies for the data center,Project Management,John Davis,2026-02-02,2026-02-13,2026-02-02,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technology assessment,,Assess applicable technologies for the data center,Project Management,John Davis,2026-02-02,2026-02-13,2026-02-03,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technology assessment,,Assess applicable technologies for the data center,Project Management,John Davis,2026-02-02,2026-02-13,2026-02-04,8
Initiation and Planning,Feasibility Study,Feasibility Study,Technology assessment,,Assess applicable technologies for the data center,Project Management,John Davis,2026-02-02,2026-02-13,2026-02-05,8
Initiation and Planning,Feasibility Study,Feasibility Study,Cost-benefit analysis,,Prepare detailed cost-benefit analysis for the project,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-16,8
Initiation and Planning,Feasibility Study,Feasibility Study,Cost-benefit analysis,,Prepare detailed cost-benefit analysis for the project,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-17,8
Initiation and Planning,Feasibility Study,Feasibility Study,Cost-benefit analysis,,Prepare detailed cost-benefit analysis for the project,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-18,8
Initiation and Planning,Feasibility Study,Feasibility Study,Cost-benefit analysis,,Prepare detailed cost-benefit analysis for the project,Project Management,John Davis,2026-02-16,2026-02-20,2026-02-19,8
Initiation and Planning,Feasibility Study,Feasibility Study,Report preparation,,Compile and issue the final feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-23,8
Initiation and Planning,Feasibility Study,Feasibility Study,Report preparation,,Compile and issue the final feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-24,8
Initiation and Planning,Feasibility Study,Feasibility Study,Report preparation,,Compile and issue the final feasibility study report,Project Management,John Davis,2026-02-23,2026-02-27,2026-02-25,8
Initiation and Planning,Project Planning,Project Planning,Scope management plan,,Develop the project scope management plan,Project Management,John Davis,2026-01-27,2026-02-06,2026-01-27,8
Initiation and Planning,Project Planning,Project Planning,Scope management plan,,Develop the project scope management plan,Project Management,John Davis,2026-01-27,2026-02-06,2026-01-28,8
Initiation and Planning,Project Planning,Project Planning,Scope management plan,,Develop the project scope management plan,Project Management,John Davis,2026-01-27,2026-02-06,2026-01-29,8
Initiation and Planning,Project Planning,Project Planning,Project schedule,,Develop the detailed project schedule,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-09,8
Initiation and Planning,Project Planning,Project Planning,Project schedule,,Develop the detailed project schedule,Project Management,John Davis,2026-02-09,2026-02-27,2026-02-10,8
